# Time, VRMS, Nu
2.408645131905809628e-04 9.963323178689476478e+00 4.823530252978225690e+02
2.422812412545591429e-04 9.963372571078473072e+00 4.823442610735752396e+02
2.436980097248345005e-04 9.963421947594930828e+00 4.823352820056730934e+02
2.451148186597335889e-04 9.963471308415655869e+00 4.823263736721308987e+02
2.465316693789041140e-04 9.963520653664954096e+00 4.823172513948806568e+02
2.479485618641487994e-04 9.963569983510344841e+00 4.823081996589346545e+02
2.493654974604166455e-04 9.963619298063333574e+00 4.822989349695727697e+02
2.507824760745543027e-04 9.963668597482325140e+00 4.822897406667274822e+02
2.521994990749537699e-04 9.963717881866299919e+00 4.822803344862261383e+02
2.536165662952689437e-04 9.963767151364775643e+00 4.822709985823505576e+02
2.550336791255669220e-04 9.963816406064355036e+00 4.822614519602142309e+02
2.564508373281485757e-04 9.963865646105954710e+00 4.822519755580708534e+02
2.578680423131031268e-04 9.963914871563938291e+00 4.822422896624384521e+02
2.592852937733736781e-04 9.963964082570679892e+00 4.822326739881153230e+02
2.607025931375278886e-04 9.964013279188653982e+00 4.822228501160270753e+02
2.621199400312038130e-04 9.964062461541804083e+00 4.822130965260861331e+02
2.635373359000178642e-04 9.964111629681083215e+00 4.822031360839233685e+02
2.649547803044951426e-04 9.964160783722002535e+00 4.821932460663965685e+02
2.663722747059218726e-04 9.964209923704331118e+00 4.821831506014656270e+02
2.677898186019026200e-04 9.964259049735328944e+00 4.821731257466191209e+02
2.692074134682817337e-04 9.964308161843900891e+00 4.821628969084766254e+02
2.706250587419391338e-04 9.964357260129174776e+00 4.821527389433899202e+02
2.720427559121952601e-04 9.964406344609461286e+00 4.821423785085949021e+02
2.734605043574148283e-04 9.964455415375869762e+00 4.821320892778539928e+02
2.748783055794970834e-04 9.964504472436406246e+00 4.821215991471050870e+02
2.762961589004459548e-04 9.964553515874374767e+00 4.821111805893867768e+02
2.777140658340529217e-04 9.964602545687732515e+00 4.821005627705145002e+02
2.791320256480498969e-04 9.964651561952093672e+00 4.820900169616738822e+02
2.805500398674776077e-04 9.964700564655679216e+00 4.820792735649000633e+02
2.819681077079153487e-04 9.964749553866571574e+00 4.820686026966843656e+02
2.833862307051113736e-04 9.964798529563511309e+00 4.820577359510725728e+02
2.848044080245373268e-04 9.964847491807267588e+00 4.820469423063267413e+02
2.862226412122768904e-04 9.964896440567285296e+00 4.820359545498641296e+02
2.876409293856341297e-04 9.964945375897173108e+00 4.820250405433735068e+02
2.890592741007286985e-04 9.964994297757376884e+00 4.820139342069919053e+02
2.904776744286227349e-04 9.965043206194534875e+00 4.820029023369294805e+02
2.918961319352713409e-04 9.965092101160287541e+00 4.819916799737000019e+02
2.933146456472997612e-04 9.965140982694510541e+00 4.819805328587813733e+02
2.947332171403688216e-04 9.965189850740246769e+00 4.819691971057316096e+02
2.961518453984567285e-04 9.965238705330779823e+00 4.819579374500269182e+02
2.975705320068592870e-04 9.965287546400857011e+00 4.819464910577412979e+02
2.989892759085857935e-04 9.965336373977274675e+00 4.819351216743738746e+02
3.004080786985527753e-04 9.965385187986731452e+00 4.819235674807827650e+02
3.018269392804386855e-04 9.965433988449747815e+00 4.819120912749318677e+02
3.032458592587954646e-04 9.965482775285183337e+00 4.819004322095897237e+02
3.046648374995474776e-04 9.965531548507430060e+00 4.818888521775226081e+02
3.060838756169128151e-04 9.965580308027751855e+00 4.818770912790446346e+02
3.075029724405424492e-04 9.965629053854605957e+00 4.818654105117638551e+02
3.089221295944013937e-04 9.965677785891875473e+00 4.818535508821121311e+02
3.103413458733339362e-04 9.965726504142248032e+00 4.818417725599126129e+02
3.117606229110774386e-04 9.965775208502421378e+00 4.818298174063007195e+02
3.131799594690501268e-04 9.965823898969476957e+00 4.818179447801538799e+02
3.145993571908560363e-04 9.965872575433250447e+00 4.818058973866189945e+02
3.160188148058006800e-04 9.965921237885314810e+00 4.817939338089928469e+02
3.174383339673719513e-04 9.965969886208780437e+00 4.817817975351387645e+02
3.188579133740675957e-04 9.966018520389944513e+00 4.817697464234380504e+02
3.202775546892858193e-04 9.966067140305444383e+00 4.817575247200076660e+02
3.216972565819084095e-04 9.966115745936424020e+00 4.817453895715368617e+02
3.231170207252709900e-04 9.966164337153225361e+00 4.817330859450357821e+02
3.245368457598318498e-04 9.966212913932034567e+00 4.817208703306057487e+02
3.259567333688072723e-04 9.966261476137100672e+00 4.817084883729001490e+02
3.273766821653462285e-04 9.966310023739797685e+00 4.816961959374210664e+02
3.287966938424857050e-04 9.966358556598493124e+00 4.816837392987052908e+02
3.302167669871564960e-04 9.966407074679873190e+00 4.816713737427805881e+02
3.316369033021239173e-04 9.966455577836624613e+00 4.816588461488521489e+02
3.330571013490943658e-04 9.966504066030944742e+00 4.816464112412501208e+02
3.344773628404446638e-04 9.966552539110015374e+00 4.816338164788595577e+02
3.358976863136076021e-04 9.966600997031656917e+00 4.816213160434992915e+02
3.373180734904340870e-04 9.966649439637771835e+00 4.816086579490628878e+02
3.387385228849963095e-04 9.966697866881926160e+00 4.815960958749446945e+02
3.401590362283908727e-04 9.966746278600931319e+00 4.815833783444269329e+02
3.415796120122008500e-04 9.966794674744274829e+00 4.815707585739089041e+02
3.430002519765197166e-04 9.966843055143831620e+00 4.815579855502986675e+02
3.444209545912681864e-04 9.966891419745129710e+00 4.815453120653784822e+02
3.458417216052623580e-04 9.966939768375322473e+00 4.815324875498378674e+02
