# Time, VRMS, Nusselt
2.872113938180000103e-02 3.284617345630000074e+01 1.034480246730000053e+00
2.875245735240000017e-02 3.286238006680000012e+01 1.034474021280000100e+00
2.878377722129999913e-02 3.289320435700000189e+01 1.034467960470000003e+00
2.881509400660000123e-02 3.290877651430000128e+01 1.034462066509999945e+00
2.884641263209999917e-02 3.293883850040000283e+01 1.034456339709999950e+00
2.887772810539999957e-02 3.295376092419999736e+01 1.034450782229999977e+00
2.890904536390000168e-02 3.298305368799999826e+01 1.034445394470000057e+00
2.894035939809999972e-02 3.299731380600000108e+01 1.034440178519999920e+00
2.897167516550000141e-02 3.302583278579999870e+01 1.034435134850000049e+00
2.900298763340000002e-02 3.303942073350000186e+01 1.034430265519999947e+00
2.903430178510000084e-02 3.306716368530000238e+01 1.034425571050000103e+00
2.906561255929999976e-02 3.308007228700000013e+01 1.034421053450000016e+00
2.909692497000000017e-02 3.310703922929999976e+01 1.034416713299999957e+00
2.912823392259999977e-02 3.311926395940000134e+01 1.034412552580000089e+00
2.915954446650000087e-02 3.314545710289999647e+01 1.034408571920000020e+00
2.919085146909999873e-02 3.315699603009999663e+01 1.034404773249999909e+00
2.922216001979999894e-02 3.318241969360000354e+01 1.034401157280000039e+00
2.925346494360000008e-02 3.319327340910000146e+01 1.034397725879999896e+00
2.928477137389999888e-02 3.321793392259999678e+01 1.034394479819999990e+00
2.931607408959999855e-02 3.322810545320000131e+01 1.034391420920000026e+00
2.934737827169999966e-02 3.325201105069999841e+01 1.034388550010000074e+00
2.937867864950000074e-02 3.326150575959999856e+01 1.034385868870000058e+00
2.940998045500000171e-02 3.328466646300000065e+01 1.034383378390000052e+00
2.944127836450000091e-02 3.329349193819999897e+01 1.034381080299999978e+00
2.947257766400000062e-02 3.331591943309999948e+01 1.034378975539999912e+00
2.950387297439999862e-02 3.332408536639999852e+01 1.034377065789999994e+00
2.953516963800000006e-02 3.334579287270000236e+01 1.034375352060000086e+00
2.956646221779999847e-02 3.335331093010000103e+01 1.034373835970000099e+00
2.959775611489999861e-02 3.337431306869999759e+01 1.034372518599999902e+00
2.962904583209999970e-02 3.338119675469999947e+01 1.034371401510000066e+00
2.966033683139999988e-02 3.340150941120000283e+01 1.034370485850000021e+00
2.969162355339999976e-02 3.340777392780000099e+01 1.034369773099999890e+00
2.972291152279999890e-02 3.342741411629999959e+01 1.034369264489999996e+00
2.975419511670000100e-02 3.343307621870000190e+01 1.034368961440000012e+00
2.978547992349999882e-02 3.345206194520000054e+01 1.034368865260000048e+00
2.981676025560000068e-02 3.345713979570000163e+01 1.034368977279999990e+00
2.984804176640000126e-02 3.347548992450000327e+01 1.034369298879999954e+00
