# Steps, Time, visc, Nusselt bottom/top, av_T, vrms, surf_rms, surf_max, grav, etamax, etamin
5.729800000000000000e+04 6.943021038296620651e-01 1.709759257652578412e+02 2.877758437474004616e+00 2.694470869965874371e+00 6.631986779908831675e-01 5.784029305271186416e+01 3.970770665710424030e+00 5.004057551549802696e+00 1.717444615610734360e+00 1.947755547437836299e+00 1.617895559943690535e-04
5.739800000000000000e+04 6.952305027540870430e-01 1.736452689887289011e+02 2.885718250964899312e+00 2.689171957317877393e+00 6.633849844347523561e-01 5.817208037031030443e+01 4.113565976440571426e+00 5.172595195494585241e+00 1.744293866766372325e+00 1.951118597606614324e+00 1.587118449941162554e-04
5.749800000000000000e+04 6.961554849653689425e-01 1.760761757647312891e+02 2.895320826812902926e+00 2.685543166674965398e+00 6.635830387200960523e-01 5.842437467378209703e+01 4.258975834479391764e+00 5.343645046729482928e+00 1.768827366557241154e+00 1.953772927217635180e+00 1.559885737716201119e-04
5.759800000000000000e+04 6.970784707170235572e-01 1.783010133854288028e+02 2.906766173157372180e+00 2.683525559685748352e+00 6.637907304863055469e-01 5.860756654004539001e+01 4.407488550312813835e+00 5.517780613209502860e+00 1.780968437111699609e+00 1.955078872347882246e+00 1.536111167823821081e-04
5.769800000000000000e+04 6.980005464121280534e-01 1.803642443105207462e+02 2.918757683301256289e+00 2.683068486321442681e+00 6.640084252961795386e-01 5.873869233547549129e+01 4.559418012181277291e+00 5.695479781476560532e+00 1.801709742402490821e+00 1.954415942772103065e+00 1.514900784802818720e-04
5.779800000000000000e+04 6.989224838081847802e-01 1.823186311909322512e+02 2.930652795533016608e+00 2.684127266121418387e+00 6.642369108348884499e-01 5.883373789584404534e+01 4.715673238278864865e+00 5.877781885413789986e+00 1.821400037799889349e+00 1.951474807992666038e+00 1.495362783927586066e-04
5.789800000000000000e+04 6.998448172567816039e-01 1.842122531571447439e+02 2.942436755547099825e+00 2.686661064772775109e+00 6.644748679950287507e-01 5.890655867112703703e+01 4.877236706973580027e+00 6.065800651014826350e+00 1.840520174864259451e+00 1.946327707364551518e+00 1.478370564184520509e-04
5.799800000000000000e+04 7.007678463837712091e-01 1.860890686104759197e+02 2.954066654189814400e+00 2.690633378656217545e+00 6.647209308483743584e-01 5.896862872430372704e+01 5.045315121585364437e+00 6.260957371088619716e+00 1.859507571230379686e+00 1.945853263485083362e+00 1.463449027472582878e-04
5.809800000000000000e+04 7.016916947560715156e-01 1.879874098203600283e+02 2.965519079219790299e+00 2.696013248211588387e+00 6.649736898750793213e-01 5.902867680667603878e+01 5.221323686595109592e+00 6.464913525287753870e+00 1.878741453370690984e+00 1.951325125979053610e+00 1.450149680534124194e-04
5.819800000000000000e+04 7.026163663002839010e-01 1.899406235919347807e+02 2.976789919505455018e+00 2.702777464666631158e+00 6.652317129266338558e-01 5.909295840531864030e+01 5.406884922196825372e+00 6.679566425858985745e+00 1.898549419204171640e+00 1.954450560809810833e+00 1.436272656876233630e-04
5.829800000000000000e+04 7.035417888241175532e-01 1.919788237881638224e+02 2.987890837366635299e+00 2.710913514959361059e+00 6.654935615872943355e-01 5.916585674794526284e+01 5.603844953856891742e+00 6.907203040158189644e+00 1.919224961393097617e+00 1.954345324335554857e+00 1.423425757485862852e-04
5.839800000000000000e+04 7.044678421435608406e-01 1.941307989375457055e+02 2.998848021605486913e+00 2.720422985935815330e+00 6.657578004658637472e-01 5.925050924069931568e+01 5.814309577824849917e+00 7.150152677250217970e+00 1.941046349492967060e+00 1.950598405625160403e+00 1.411437634493826652e-04
5.849800000000000000e+04 7.053943739108335942e-01 1.964255849035848200e+02 3.009702767774723675e+00 2.731325227540187583e+00 6.660230008548035929e-01 5.934928506227029743e+01 6.040702100483602344e+00 7.411187425879676383e+00 1.964292030131012279e+00 1.943449729104345547e+00 1.400172761292976342e-04
5.859800000000000000e+04 7.063212079526174358e-01 1.988936676844981548e+02 3.020512555905884078e+00 2.743661222167479874e+00 6.662877403109959129e-01 5.946408017076493024e+01 6.285845980926729304e+00 7.693548088140842012e+00 1.989252375205901036e+00 1.949897919688615255e+00 1.388008028655237237e-04
5.869800000000000000e+04 7.072481492316037288e-01 2.015680301960081238e+02 3.031351725889446236e+00 2.757497786012683250e+00 6.665505987676380029e-01 5.959647642920224087e+01 6.553078011569865247e+00 8.001061721830485141e+00 2.016240181450541957e+00 1.954542640513405205e+00 1.376020656418959324e-04
5.879800000000000000e+04 7.081749880371102090e-01 2.044853450972029236e+02 3.042311529071317189e+00 2.772932419087812406e+00 6.668101508204202776e-01 5.974783684485831969e+01 6.846402135162316327e+00 8.338475063816225941e+00 2.045603266660098285e+00 1.953441709622701250e+00 1.364684062701057414e-04
5.889800000000000000e+04 7.091015044664993328e-01 2.076876425511859168e+02 3.053499906231365912e+00 2.790099325802662289e+00 6.670649531564188939e-01 5.991940680900079741e+01 7.170700246269350764e+00 8.711152793597280564e+00 2.077742723114111900e+00 1.945504903928343632e+00 1.353307343023347781e-04
5.899800000000000000e+04 7.100274729292951337e-01 2.112248024874890575e+02 3.065041699171314971e+00 2.809177365140843818e+00 6.673135256454676423e-01 6.011247854683522007e+01 7.532025126539378057e+00 9.125960197160843279e+00 2.113140255713394033e+00 1.951837015763332683e+00 1.340896110227230559e-04
5.909800000000000000e+04 7.109526654769933174e-01 2.151582634775421923e+02 3.077080194552524794e+00 2.830400999540318097e+00 6.675543241346761913e-01 6.032865930407382393e+01 7.938013604124346756e+00 9.591696729180311465e+00 2.152397372354819982e+00 1.955227179990503217e+00 1.329213394845068683e-04
5.919800000000000000e+04 7.118768141423964524e-01 2.195662577921987122e+02 3.089780664575519253e+00 2.854074718382029641e+00 6.677856922308138543e-01 6.057025908777679035e+01 8.398458454115514726e+00 1.011944163189985346e+01 2.196284304137241072e+00 1.946056006848505548e+00 1.317377146223188019e-04
5.929800000000000000e+04 7.127996191584557995e-01 2.245516318494469488e+02 3.103339808457015181e+00 2.880595115995720157e+00 6.680058094010998815e-01 6.084083456148488978e+01 8.926160425396757248e+00 1.072352550806476756e+01 2.245784911990067023e+00 1.955318135756040077e+00 1.304445230794812457e-04
5.939800000000000000e+04 7.137207411329673512e-01 2.302546268453782830e+02 3.117156303683896734e+00 2.910482269087672158e+00 6.682146738814724873e-01 6.114994178760906607e+01 9.537892156510915598e+00 1.142325215061373811e+01 2.308574032259651521e+00 1.950641931437312682e+00 1.292466676895986130e-04
5.949800000000000000e+04 7.146400119771800785e-01 2.368685675448405448e+02 3.133401421523280383e+00 2.944431614586912271e+00 6.684063701030138471e-01 6.149822988781042454e+01 1.026043609234191045e+01 1.224435294442825750e+01 2.368467039137874597e+00 1.955395115722915023e+00 1.278484796820360486e-04
